First Name,Last Name,Title,Company / Account,Lead Status,Email
Vishal,Prasad,Programmer,Persistent Systems Limited,Open,vishal_prasad@spadm203-1.edu
Adam,Kittow,,[not provided],Open,adam.kittow@spadm203-2.edu
Jake,Faris,,Primer Consulting,Open,jacobfaris@spadm203-3.edu
Stacy,Bertolino,,CBS,Open,admin@spadm203-4.edu
Aundrea,Koley,,Tsys Merchant Solutions,Open,akoley@spadm203-5.edu
Keith,Averitt,President,"AMECO, INC.",Open,sales@spadm203-6.edu
Karen,Gonnet,Senior Salesforce Administrator,The Advisory Board Company,Open,gonnetk@spadm203-7.edu
Mike,Verledens,,mooze,Open,mikev@spadm203-8.edu
Susan,Peterson,"Small Business Reporting, Analytics & Tools",[not provided],Open,susan.peterson@spadm203-9.edu
Admin,Compass-EOS,,[not provided],Open,ron.davidson@spadm203-10.edu
Whitney,Frey,,G2insurance,Open,wfrey@spadm203-11.edu
LEE,KUAN HONG,DIRECTOR,myseekit,Open,kuanhong.lee@spadm203-12.edu
Ken,Tichacek,Proprietor,"Think Like Your Clients, LLC",Open,ken@spadm203-13.edu
James,Bayliss,SalesForce Administrator,Leadership Trust,Open,jamesbayliss@spadm203-14.edu
Allyson,Lower,Business Analyst,"Schenker, Inc.",Open,allyson.lower@spadm203-15.edu
John,Medeiros,Solution Architech,Astadia,Open,jmedeiros@spadm203-16.edu
David,Ihssen,,[not provided],Open,dave.ihssen@spadm203-17.edu
Jeremy,Brady,Senior Business Analyst,UnitedHealthcare Specialty Benefits,Open,jeremy.brady@spadm203-18.edu
Nigel,Runnalls,,RAM,Open,developer@spadm203-19.edu
Ryan,Phillips,,RP Consulting,Open,ryan@spadm203-20.edu
Keith,Averitt,President,"AMECO, INC.",Open,sales@spadm203-21.edu
Thomas,Smith,,MTA Development Group,Open,tom@spadm203-22.edu
Scott,Kuehn,Sales Director,[not provided],Open,scott@spadm203-23.edu
David,Ihssen,,[not provided],Open,dave.ihssen@spadm203-24.edu
Aundrea,Koley,Business Analyst,Tsys Merchant Solutions,Open,akoley@spadm203-25.edu
Melissa,Hoffman,CEO / Marketing & Technology Director,"SixDegrees, Inc",Open,melissa@spadm203-26.edu
Ryan,Phillips,,RP,Open,ryan@spadm203-27.edu
later,later,later,later,Open,later@spadm203-28.edu
greg,Devine,Director,SHC PTA,Open,gregd@spadm203-29.edu
Adam,Kittow,,CR Bard,Open,adam.kittow@spadm203-30.edu
Molly,St. Clair,Client Operations Analyst,MTS MyNewPlace,Open,mstclair@spadm203-31.edu
Randy,Funk,Business Development,SW Funk Industrial,Open,rfunk@spadm203-32.edu
Kelly,Travis,,Second Street,Open,kelly@spadm203-33.edu
Megan,Cook,Senior Administrative Assistant,Hunt Electric Supply Co.,Open,mcook@spadm203-34.edu
Heather,Winter,Sales & Marketing Coordinator,[not provided],Open,hwinter@spadm203-35.edu
Miles,Harvey,,[not provided],Open,miles.harvey@spadm203-36.edu
,AndresG,,Dev,Open,andresglue@spadm203-37.edu
Kimberly,Vega,,Glitz Design,Open,kimberly@spadm203-38.edu
Manish,jjfg,kk,trcguylobal,Open,abomb52c@spadm203-39.edu
Jan Bennett,Collections Admin,System Administrator,CenturyLink,Open,jan.bennett@spadm203-40.edu
Hugh,Smith,Manufacturer's Representative,FMWR Services,Open,hughsmithfr@spadm203-41.edu
Randy,Funk,,SW Funk Industrial,Open,rfunk@spadm203-42.edu
Molly,St. Clair,,MyNewPlace,Open,mstclair@spadm203-43.edu
John,Medeiros,Consultant,Astadia,Open,jmedeiros@spadm203-44.edu
Justin,Heyman,,[not provided],Open,justinh@spadm203-45.edu
Nathan,Spiwak,Technology Services Manager,Center for Shared Services,Open,nspiwak@spadm203-46.edu
Kevin,Ellis,Sales Director,CallScripter,Open,kevin@spadm203-47.edu
Alissa,Guidry,,[not provided],Open,alissag@spadm203-48.edu
RamÛn,Delgado,,Janur S.L.,Open,distribucioncentral@spadm203-49.edu
Amanda,Fisher,,[not provided],Open,afisher@spadm203-50.edu
Nigel,Runnalls,,[not provided],Open,developer@spadm203-51.edu
Jacob,Johnson,,[not provided],Open,jacob.johnson@spadm203-52.edu
Luke,Valente,Business Intelligence Coordinator,Return path,Open,luke.valente@spadm203-53.edu
Vincent,Cabral,,[not provided],Open,vcabral@spadm203-54.edu
Ian,Sampson,Technical Director,Glanton Solutions Ltd,Open,sampsoni@spadm203-55.edu
Aundrea,Koley,Business Analyst,Tsys Merchant Solutions,Open,akoley@spadm203-56.edu
Heather,Winter,Sales & Marketing Coordinator,[not provided],Open,hwinter@spadm203-57.edu
James,Bayliss,,The Leadership Trust Foundation,Open,jamesbayliss@spadm203-58.edu
